UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Power_kW,Vibration_mms,Machine_failure
1842,L01842,L,297.7,308.1,1632,30.4,153,5.196,18.671,0
1843,L01843,L,297.1,306.1,1442,31.5,6,4.758,21.793,0
1844,M01844,M,300.4,310.4,1519,34.7,220,5.519,22.892,0
1845,H01845,H,301.1,311.0,1514,39.7,171,6.295,26.219,0
1846,L01846,L,301.3,310.6,1606,26.7,174,4.495,16.646,0
1847,L01847,L,299.8,308.9,1631,48.6,69,8.296,29.888,0
1848,L01848,L,297.7,308.6,1519,41.8,84,6.644,27.754,0
1849,M01849,M,298.6,306.9,1525,59.2,229,9.461,38.666,1
1850,M01850,M,302.3,312.8,1545,43.0,159,6.958,27.958,0
1851,L01851,L,299.0,309.8,1829,45.7,4,8.756,25.051,0
1852,M01852,M,300.3,310.1,1154,31.5,82,3.802,27.189,0
1853,M01853,M,297.8,307.9,1306,28.2,150,3.854,21.541,0
1854,M01854,M,300.7,311.8,1635,46.2,37,7.907,28.344,0
1855,H01855,H,299.1,308.4,1554,29.1,25,4.73,18.71,0
1856,L01856,L,302.1,311.5,1553,46.4,15,7.547,29.893,0
1857,M01857,M,301.5,311.1,1633,57.1,158,9.762,34.866,1
1858,L01858,L,299.0,310.2,1543,49.5,80,7.99,31.981,0
1859,M01859,M,299.7,311.0,1388,45.7,93,6.644,32.828,0
1860,M01860,M,298.9,307.5,1626,42.7,15,7.269,26.211,0
1861,M01861,M,297.2,308.2,1504,36.2,185,5.696,24.027,0
1862,M01862,M,298.3,309.1,1410,38.9,192,5.739,27.582,0
1863,L01863,L,300.4,312.0,1638,34.3,207,5.892,20.885,0
1864,L01864,L,300.7,311.0,1630,26.8,163,4.583,16.543,0
1865,H01865,H,300.3,310.3,1543,40.4,193,6.52,26.063,0
1866,H01866,H,299.4,310.5,1843,51.1,144,9.86,27.786,1
1867,L01867,L,301.9,312.6,1765,27.1,123,5.012,15.271,0
1868,L01868,L,300.1,312.4,1700,54.0,65,9.613,31.951,1
1869,L01869,L,301.4,312.4,2013,52.2,13,10.999,25.979,1
1870,M01870,M,296.5,306.6,1471,44.0,73,6.772,29.981,0
1871,M01871,M,292.2,301.0,1407,44.1,171,6.491,31.29,0
1872,L01872,L,300.6,310.0,1672,38.1,232,6.678,22.869,1
1873,L01873,L,297.2,305.7,1449,40.4,64,6.135,27.761,0
1874,M01874,M,299.6,309.4,1502,35.4,167,5.564,23.441,0
1875,M01875,M,299.4,310.3,1303,40.3,120,5.5,30.915,0
1876,L01876,L,303.2,313.2,1621,41.4,157,7.029,25.685,0
1877,L01877,L,300.8,311.8,1206,58.8,0,7.426,48.875,0
1878,L01878,L,300.3,310.7,1481,45.7,31,7.079,30.61,0
1879,L01879,L,301.7,311.3,1497,37.9,54,5.942,25.224,0
1880,L01880,L,300.7,310.8,1413,39.0,223,5.772,27.604,0
1881,M01881,M,299.1,309.6,1149,32.9,10,3.953,28.742,0
1882,M01882,M,302.1,312.3,1147,34.5,142,4.146,30.115,0
1883,M01883,M,297.8,307.9,1351,49.1,232,6.946,36.101,1
1884,M01884,M,300.6,309.9,1608,35.1,163,5.903,21.689,0
1885,L01885,L,296.9,306.5,1558,33.8,121,5.518,21.785,0
1886,L01886,L,300.4,312.7,1497,34.1,96,5.341,22.787,0
1887,L01887,L,300.4,311.6,1323,32.7,156,4.532,24.735,0
1888,L01888,L,303.4,311.9,1568,51.3,120,8.42,32.805,0
1889,M01889,M,296.9,304.5,1140,41.4,176,4.946,36.299,1
1890,H01890,H,298.8,308.9,1021,37.2,154,3.974,36.493,0
1891,L01891,L,301.6,312.5,1451,40.3,142,6.124,27.926,0
1892,L01892,L,300.7,310.2,1391,42.2,239,6.142,30.345,0
1893,M01893,M,300.4,311.4,1703,32.5,209,5.8,19.015,0
1894,L01894,L,298.1,308.1,1532,26.1,152,4.187,17.001,0
1895,L01895,L,298.8,308.7,1830,53.4,135,10.231,29.079,1
1896,M01896,M,302.5,313.2,1390,49.9,181,7.262,35.652,0
1897,M01897,M,299.9,309.4,1597,43.8,201,7.323,27.328,0
1898,L01898,L,300.8,310.5,1450,49.2,74,7.467,34.0,0
1899,L01899,L,299.8,310.4,1776,59.1,167,11.002,33.296,1
1900,M01900,M,297.6,307.6,1459,34.6,34,5.294,23.879,0
1901,L01901,L,301.9,313.8,1671,28.8,108,5.039,17.251,0
1902,L01902,L,301.0,311.7,1284,46.6,235,6.27,36.38,0
1903,M01903,M,304.6,315.2,1417,25.3,82,3.759,17.702,0
1904,L01904,L,298.0,307.9,1483,40.4,39,6.272,27.181,0
1905,M01905,M,301.6,312.5,1753,37.0,37,6.794,21.093,0
1906,L01906,L,297.4,307.1,1061,46.7,98,5.191,43.987,0
1907,H01907,H,300.3,310.6,1433,35.2,56,5.281,24.692,0
1908,L01908,L,302.0,311.0,1427,52.0,107,7.769,36.253,0
1909,L01909,L,295.9,306.9,1085,32.5,180,3.695,29.982,0
1910,L01910,L,299.6,309.9,1407,47.1,222,6.935,33.554,0
1911,L01911,L,298.9,310.9,1192,33.3,28,4.161,28.046,0
1912,M01912,M,298.6,311.0,1034,45.5,192,4.924,43.957,0
1913,H01913,H,300.8,311.5,1448,29.9,26,4.525,20.534,0
1914,L01914,L,302.2,312.3,1441,39.8,95,5.999,27.705,0
1915,L01915,L,299.7,308.8,1451,53.2,249,8.087,36.626,1
1916,M01916,M,300.4,311.3,1551,41.2,17,6.682,26.456,0
1917,M01917,M,300.2,310.4,1324,51.8,6,7.187,39.244,0
1918,L01918,L,300.0,310.5,1858,39.7,83,7.732,21.416,0
1919,L01919,L,297.8,309.6,1493,34.9,238,5.465,23.368,0
1920,L01920,L,302.2,311.4,1757,41.7,5,7.677,23.774,0
1921,M01921,M,300.6,309.7,1164,46.2,56,5.63,39.721,0
1922,L01922,L,300.8,310.6,1333,20.9,151,2.924,15.706,1
1923,M01923,M,298.4,309.2,1637,45.2,58,7.754,27.636,0
1924,L01924,L,299.1,309.6,1455,30.6,13,4.662,20.82,0
1925,M01925,M,299.6,308.8,1285,28.1,13,3.784,21.863,0
1926,L01926,L,296.9,307.7,1132,45.4,140,5.381,40.02,0
1927,L01927,L,296.6,305.4,1647,53.4,140,9.205,32.341,1
1928,L01928,L,298.8,308.0,1630,42.2,177,7.199,25.794,0
1929,M01929,M,301.0,310.9,1549,26.4,33,4.289,17.027,0
1930,L01930,L,298.7,308.1,1401,33.3,125,4.884,23.738,0
1931,L01931,L,298.0,308.9,1277,35.8,150,4.791,28.056,0
1932,L01932,L,298.4,308.7,1489,42.0,56,6.545,28.1,0
1933,L01933,L,299.1,310.9,1237,39.3,137,5.088,31.809,0
1934,M01934,M,299.3,309.0,1350,45.0,177,6.353,33.379,0
1935,M01935,M,304.3,314.2,1752,50.0,248,9.175,28.607,1
1936,M01936,M,302.1,313.3,1130,43.4,149,5.141,38.548,0
1937,L01937,L,302.0,312.0,1636,49.0,215,8.389,29.892,0
1938,M01938,M,302.3,313.8,1799,37.3,208,7.027,20.71,1
1939,L01939,L,298.0,308.5,1663,73.0,235,12.708,43.89,1
1940,L01940,L,297.6,305.2,1580,45.5,181,7.532,28.782,0
1941,L01941,L,297.8,309.0,1407,46.8,53,6.903,33.168,0
1942,L01942,L,302.7,313.6,1371,57.6,75,8.265,41.951,0
1943,M01943,M,298.9,309.9,1050,40.9,196,4.497,39.085,0
1944,M01944,M,297.5,305.6,1507,33.5,130,5.295,22.179,0
1945,M01945,M,299.1,308.5,1420,53.1,63,7.888,37.302,0
1946,L01946,L,299.5,308.9,1360,53.7,164,7.643,39.383,0
1947,L01947,L,300.5,309.7,1496,41.5,227,6.507,27.82,0
1948,L01948,L,300.5,312.2,1512,57.6,89,9.122,38.116,1
1949,L01949,L,298.3,308.3,1373,39.2,149,5.631,28.6,0
1950,L01950,L,301.4,311.3,1823,49.3,145,9.414,27.315,1
1951,L01951,L,298.7,309.3,1646,55.2,32,9.508,33.588,1
1952,L01952,L,299.7,310.3,1679,41.0,23,7.207,24.496,0
1953,L01953,L,301.4,308.0,1479,44.6,222,6.904,30.413,0
1954,M01954,M,298.7,308.1,1602,50.3,233,8.433,31.417,0
1955,H01955,H,298.9,307.4,1321,36.3,226,5.026,27.472,1
1956,H01956,H,301.2,311.6,1633,31.9,99,5.449,19.476,0
1957,M01957,M,298.3,308.0,1459,53.3,72,8.149,36.655,0
1958,L01958,L,299.2,309.2,1296,43.1,236,5.843,33.116,0
1959,M01959,M,301.1,309.0,1495,34.9,221,5.472,23.172,0
1960,M01960,M,304.1,313.8,1442,40.9,205,6.181,28.318,0
1961,L01961,L,301.2,312.3,1965,45.1,84,9.276,23.031,1
1962,L01962,L,300.9,312.4,1587,24.3,160,4.04,15.375,0
1963,M01963,M,301.1,311.8,1816,47.2,188,8.968,25.954,0
1964,L01964,L,297.9,306.5,1726,44.1,144,7.969,25.645,0
1965,L01965,L,300.2,311.5,1508,56.6,151,8.928,37.573,0
1966,L01966,L,299.9,310.7,1411,37.8,189,5.588,26.826,0
1967,L01967,L,300.6,310.5,1152,53.8,192,6.487,46.676,0
1968,L01968,L,300.2,308.2,1326,39.6,60,5.492,29.923,1
1969,L01969,L,300.8,311.7,1633,41.4,98,7.076,25.43,0
1970,L01970,L,299.4,308.8,1440,42.8,195,6.454,29.71,0
1971,L01971,L,300.1,310.5,1575,60.9,65,10.051,38.765,1
1972,M01972,M,297.5,307.6,1094,27.6,229,3.162,25.169,1
1973,L01973,L,299.4,310.9,1591,45.0,210,7.488,28.282,0
1974,L01974,L,302.8,312.7,1719,40.4,224,7.278,23.551,0
1975,L01975,L,300.6,310.6,1145,39.7,74,4.761,34.656,0
1976,H01976,H,300.0,311.5,1574,45.8,26,7.556,29.125,0
1977,L01977,L,303.8,313.1,1769,51.1,25,9.457,28.929,1
1978,L01978,L,297.3,308.1,1836,45.3,139,8.713,24.574,0
1979,M01979,M,297.8,307.6,1399,52.4,76,7.671,37.431,0
1980,M01980,M,303.4,312.4,1656,37.5,66,6.501,22.861,0
1981,L01981,L,300.1,310.1,1786,39.5,56,7.39,22.042,0
1982,M01982,M,299.5,310.2,1580,30.0,141,4.963,19.082,0
1983,L01983,L,297.6,309.0,1757,59.8,137,11.008,34.042,1
1984,L01984,L,300.9,312.4,1493,38.1,106,5.961,25.662,0
1985,L01985,L,301.1,310.8,1579,37.0,35,6.122,23.38,0
1986,L01986,L,297.8,306.8,1376,46.1,232,6.636,33.487,0
1987,M01987,M,299.7,309.4,1467,51.1,107,7.846,35.032,0
1988,L01988,L,299.3,308.1,1587,33.1,31,5.497,20.83,0
1989,L01989,L,300.5,310.3,1361,51.9,9,7.39,38.182,0
1990,M01990,M,297.8,307.4,1455,37.0,38,5.634,25.461,0
1991,M01991,M,302.5,313.2,1652,54.3,74,9.396,32.667,1
1992,L01992,L,301.8,309.6,1911,34.6,158,6.921,18.15,0
1993,M01993,M,299.3,308.5,1090,47.4,243,5.406,43.316,0
1994,L01994,L,299.6,308.8,1895,40.4,68,8.024,21.393,0
1995,M01995,M,299.7,310.9,1448,28.7,197,4.357,19.857,0
1996,M01996,M,298.4,307.3,1693,25.8,228,4.581,15.152,0
1997,H01997,H,299.1,309.3,1732,32.6,98,5.908,18.684,0
1998,L01998,L,299.5,309.3,1813,49.9,63,9.478,27.532,1
1999,L01999,L,303.2,314.3,1354,20.6,123,2.917,15.434,1
2000,L02000,L,301.9,312.5,1455,43.3,224,6.603,29.95,0
2001,L02001,L,301.9,312.0,1489,42.5,3,6.623,28.552,0
2002,L02002,L,300.7,310.2,1429,23.2,122,3.467,16.276,1
2003,H02003,H,297.8,305.9,1764,32.0,189,5.916,18.221,0
2004,L02004,L,299.9,310.2,1485,32.0,150,4.977,21.509,0
2005,L02005,L,301.9,312.5,1176,40.5,124,4.992,34.384,0
2006,M02006,M,297.5,305.9,1373,54.7,138,7.862,39.887,1
2007,L02007,L,301.3,310.0,1184,50.7,155,6.294,42.791,0
2008,M02008,M,304.6,314.9,1454,36.4,171,5.543,25.171,0
2009,L02009,L,302.1,312.5,1635,31.7,89,5.427,19.262,0
2010,L02010,L,302.8,311.8,1369,24.4,129,3.501,17.744,0
2011,L02011,L,300.4,309.9,1419,36.2,68,5.383,25.655,0
2012,L02012,L,301.9,310.1,1445,31.0,246,4.693,21.432,0
2013,H02013,H,298.6,309.9,1528,39.6,47,6.343,25.927,0
2014,L02014,L,301.6,310.3,1603,40.0,38,6.718,25.025,0
2015,L02015,L,301.3,311.9,1661,35.2,67,6.132,21.329,0
2016,L02016,L,300.6,310.5,1951,35.5,230,7.244,18.232,0
2017,L02017,L,302.6,313.9,1525,33.1,165,5.279,21.713,0
2018,M02018,M,298.9,308.1,1647,34.9,114,6.016,21.253,0
2019,L02019,L,299.6,309.7,1182,54.4,231,6.731,46.011,1
2020,M02020,M,300.2,308.5,1424,45.2,225,6.738,31.831,0
2021,H02021,H,297.9,306.0,1446,45.3,100,6.861,31.625,0
2022,L02022,L,300.5,311.1,1297,50.1,141,6.805,38.707,0
2023,H02023,H,296.6,304.8,1393,49.2,226,7.181,35.264,0
2024,L02024,L,302.1,311.9,1479,54.2,80,8.399,36.795,0
2025,L02025,L,300.1,311.1,1399,45.9,102,6.722,32.782,0
2026,L02026,L,299.0,309.7,2020,42.1,198,8.897,20.847,0
2027,M02027,M,298.3,307.7,1602,34.1,175,5.721,21.312,0
2028,H02028,H,299.5,307.9,1900,31.8,12,6.32,16.655,0
2029,L02029,L,301.4,311.9,1799,48.8,29,9.195,27.109,1
2030,M02030,M,301.1,312.4,1372,38.9,212,5.588,28.111,0
2031,L02031,L,298.6,307.9,1508,26.4,7,4.168,17.503,0
2032,L02032,L,298.3,307.5,1413,19.1,230,2.822,13.552,1
2033,L02033,L,301.3,310.8,1468,61.5,68,9.448,41.889,1
2034,H02034,H,298.6,309.1,1305,30.1,150,4.118,23.055,0
2035,M02035,M,300.1,311.3,1412,33.1,141,4.899,23.511,0
2036,L02036,L,300.2,309.0,1572,52.3,99,8.606,33.165,0
2037,L02037,L,300.6,309.1,1567,27.9,8,4.58,17.712,0
2038,L02038,L,301.7,314.1,1551,45.3,48,7.358,29.275,0
2039,L02039,L,297.5,307.3,1488,58.2,154,9.072,39.183,1
2040,L02040,L,296.2,306.4,1672,61.1,112,10.706,36.614,1
2041,M02041,M,298.9,308.2,1449,35.5,103,5.389,24.494,0
2042,L02042,L,303.6,314.1,1778,39.9,24,7.427,22.535,0
2043,L02043,L,304.0,315.0,1130,36.0,87,4.266,31.764,0
2044,L02044,L,303.7,314.0,1631,39.8,132,6.803,24.38,0
2045,M02045,M,299.6,311.4,1598,53.0,19,8.864,33.237,0
2046,M02046,M,296.4,306.1,1365,26.0,17,3.718,19.137,0
2047,L02047,L,295.3,305.1,1429,46.5,123,6.955,32.45,0
2048,M02048,M,298.8,309.0,1593,38.0,140,6.346,24.098,0
2049,L02049,L,299.6,310.1,1683,53.7,64,9.463,31.882,1
2050,L02050,L,302.6,312.8,1150,53.2,81,6.402,46.226,0
2051,L02051,L,301.7,310.5,1626,35.9,199,6.116,22.199,0
2052,L02052,L,300.5,310.8,1408,38.9,217,5.736,27.768,1
2053,L02053,L,298.2,307.8,1725,48.9,81,8.839,28.369,0
2054,H02054,H,298.1,307.5,1132,49.8,89,5.908,44.134,0
2055,M02055,M,300.5,310.5,1989,15.3,208,3.182,7.634,1
2056,M02056,M,301.4,310.4,1323,48.9,243,6.773,37.131,0
2057,L02057,L,300.8,309.6,1786,56.5,80,10.561,31.619,1
2058,L02058,L,297.9,305.3,1486,42.6,197,6.623,28.666,0
2059,M02059,M,301.3,313.0,1336,49.5,120,6.927,37.01,0
2060,L02060,L,300.9,311.4,1553,52.8,66,8.585,34.012,0
2061,L02061,L,297.9,307.7,1706,42.2,170,7.541,24.675,0
2062,L02062,L,298.4,307.8,1189,48.1,116,5.997,40.468,0
2063,M02063,M,301.4,308.5,1640,40.1,67,6.893,24.465,0
2064,L02064,L,299.5,308.8,1498,39.5,27,6.191,26.256,0
2065,L02065,L,303.2,313.9,1615,33.4,217,5.648,20.609,1
2066,M02066,M,301.0,311.9,1502,41.7,220,6.565,27.57,0
2067,L02067,L,299.0,309.7,1386,58.9,19,8.542,42.361,0
2068,L02068,L,300.0,310.1,1277,31.0,166,4.143,24.248,0
2069,L02069,L,300.1,311.4,1635,46.2,41,7.903,28.342,0
2070,L02070,L,298.5,308.2,1633,43.2,162,7.391,26.417,0
2071,M02071,M,298.2,309.3,1632,54.7,227,9.359,33.534,1
2072,L02072,L,301.4,311.0,1586,56.6,65,9.402,35.833,1
2073,L02073,L,301.7,310.8,1689,30.8,87,5.44,18.294,0
2074,M02074,M,301.2,310.2,1781,34.3,199,6.39,19.315,0
2075,M02075,M,303.0,312.0,1125,34.8,184,4.099,30.957,0
2076,M02076,M,298.9,309.6,1032,35.2,102,3.798,34.031,0
2077,L02077,L,303.3,312.6,1844,36.0,212,6.953,19.575,0
2078,L02078,L,298.2,307.2,1232,43.5,230,5.607,35.419,0
2079,H02079,H,298.0,308.7,1283,31.5,113,4.23,24.727,0
2080,M02080,M,296.5,306.8,1442,32.9,10,4.969,23.043,0
2081,L02081,L,299.1,310.1,1169,32.1,127,3.93,27.602,0
2082,L02082,L,299.0,309.5,1424,44.9,185,6.698,31.561,0
2083,L02083,L,301.1,310.3,1310,39.4,55,5.401,29.919,0
2084,H02084,H,300.5,310.6,1453,37.6,25,5.72,25.923,0
2085,L02085,L,297.6,307.7,1556,31.6,71,5.146,20.406,0
2086,L02086,L,299.2,308.3,1431,24.0,3,3.591,16.484,0
2087,L02087,L,299.3,308.2,1421,56.3,179,8.381,39.478,0
2088,M02088,M,296.4,305.8,1552,37.1,37,6.03,23.873,0
2089,M02089,M,298.0,310.1,1709,67.1,181,12.009,39.192,1
2090,L02090,L,298.5,308.0,1821,47.7,59,9.099,26.055,1
2091,M02091,M,302.9,314.1,1456,58.3,248,8.89,40.066,1
2092,H02092,H,300.4,309.9,1865,49.9,133,9.752,26.899,1
2093,L02093,L,301.3,312.2,1675,41.6,10,7.296,24.803,0
2094,L02094,L,297.0,307.9,1254,34.0,193,4.466,26.975,0
2095,L02095,L,302.4,313.3,1248,30.2,103,3.95,24.249,0
2096,M02096,M,302.6,313.0,1385,51.2,152,7.423,36.866,0
2097,L02097,L,296.0,307.4,1789,42.7,238,7.99,23.741,0
2098,M02098,M,298.6,309.0,1400,46.2,129,6.767,33.077,0
2099,M02099,M,301.0,312.7,1122,48.1,201,5.655,43.049,0
2100,L02100,L,301.3,309.7,1454,43.6,76,6.634,29.925,0
2101,H02101,H,298.6,309.0,1104,35.3,179,4.078,32.034,0
2102,L02102,L,299.4,309.7,1289,50.1,25,6.766,38.781,0
2103,L02103,L,298.8,307.9,1383,38.0,223,5.504,27.551,0
2104,M02104,M,300.2,310.8,1530,40.9,50,6.554,26.699,0
2105,M02105,M,302.4,310.9,1705,47.2,75,8.422,27.538,0
2106,L02106,L,298.5,307.8,1639,39.4,240,6.764,23.957,0
2107,M02107,M,302.0,310.0,1264,21.8,39,2.889,17.303,1
2108,H02108,H,298.4,310.0,1426,50.4,64,7.525,35.208,0
2109,L02109,L,298.3,308.1,1515,52.5,145,8.338,34.652,0
2110,H02110,H,301.6,313.8,1448,21.7,245,3.288,15.09,1
2111,L02111,L,301.8,312.6,1446,29.6,173,4.478,20.396,0
2112,L02112,L,301.7,312.2,1155,60.2,29,7.289,51.98,0
2113,L02113,L,297.4,306.8,1269,42.3,187,5.626,33.31,0
2114,M02114,M,299.1,308.0,1419,40.0,107,5.951,28.273,0
2115,M02115,M,301.6,312.2,1000,35.7,248,3.742,35.606,0
2116,L02116,L,300.1,310.0,1628,29.7,157,5.063,18.356,0
2117,L02117,L,297.9,306.5,1225,38.1,133,4.884,31.131,0
2118,M02118,M,300.9,309.4,1637,49.7,139,8.529,30.416,0
2119,L02119,L,298.6,307.6,1620,39.8,160,6.758,24.656,0
2120,M02120,M,303.6,315.4,1391,46.1,183,6.717,33.15,0
2121,M02121,M,303.1,315.3,1700,57.7,20,10.265,33.947,1
2122,L02122,L,301.2,311.4,1649,34.2,33,5.904,20.749,0
2123,H02123,H,302.7,312.9,1438,43.0,75,6.481,30.007,0
2124,L02124,L,300.1,309.8,1416,50.0,119,7.419,35.48,0
2125,H02125,H,301.5,310.6,1719,30.7,78,5.523,17.756,0
2126,M02126,M,303.0,314.3,1546,41.8,53,6.766,26.948,0
2127,M02127,M,300.5,312.4,1709,58.7,231,10.509,34.323,1
2128,L02128,L,299.5,308.6,1022,36.6,8,3.918,35.742,0
2129,M02129,M,296.6,306.5,1520,50.7,235,8.066,33.464,0
2130,L02130,L,299.8,309.4,1185,38.6,227,4.787,32.428,0
2131,L02131,L,301.6,311.2,1495,58.0,171,9.079,38.852,1
2132,L02132,L,301.9,313.1,1643,23.5,8,4.05,14.471,0
2133,L02133,L,301.0,309.7,1848,40.6,56,7.866,21.941,0
2134,L02134,L,298.9,309.4,1312,25.2,245,3.465,19.358,1
2135,M02135,M,296.0,306.8,1395,33.0,226,4.819,23.768,0
2136,M02136,M,299.0,308.9,1481,32.9,241,5.107,22.203,0
2137,L02137,L,299.4,310.3,1305,37.3,249,5.102,28.686,0
2138,M02138,M,299.4,309.5,1696,28.1,16,4.993,16.499,0
2139,L02139,L,301.2,312.5,1486,39.3,143,6.113,26.325,0
2140,M02140,M,304.0,312.4,1524,44.6,209,7.12,29.214,0
2141,M02141,M,300.2,309.9,1624,24.7,80,4.197,15.332,0
2142,L02142,L,299.6,309.5,1486,33.7,109,5.235,22.605,0
2143,M02143,M,299.5,306.8,1336,65.4,71,9.155,48.946,1
2144,L02144,L,300.2,309.2,1487,43.3,10,6.743,29.006,0
2145,L02145,L,298.3,307.5,1329,21.8,18,3.037,16.51,1
2146,M02146,M,300.2,311.2,1522,26.0,5,4.142,17.167,0
2147,L02147,L,300.9,310.2,1699,42.3,132,7.52,24.797,0
2148,L02148,L,300.4,309.6,1265,41.0,155,5.432,32.185,0
2149,L02149,L,300.9,311.7,1194,34.1,77,4.265,28.556,0
2150,M02150,M,300.9,309.2,1510,61.9,207,9.792,41.064,1
2151,L02151,L,296.5,304.4,1346,66.2,222,9.332,49.156,1
2152,L02152,L,301.3,310.9,1506,37.4,35,5.893,24.807,0
2153,M02153,M,298.7,307.2,1564,48.7,13,7.981,31.19,0
2154,M02154,M,297.8,306.4,1071,49.2,80,5.523,45.906,1
2155,L02155,L,297.8,308.4,1638,50.6,178,8.672,30.741,0
2156,L02156,L,300.9,311.7,1266,33.6,127,4.455,26.612,0
2157,L02157,L,299.6,310.3,1496,59.4,122,9.302,39.626,1
2158,L02158,L,296.6,307.7,1368,39.3,38,5.633,28.616,0
2159,L02159,L,301.0,312.2,1390,44.2,88,6.435,31.872,0
2160,M02160,M,297.1,305.0,1839,40.0,240,7.706,21.654,0
2161,M02161,M,300.3,310.7,1564,38.6,85,6.322,24.603,0
2162,M02162,M,300.5,309.9,1681,42.8,148,7.531,25.611,0
2163,L02163,L,301.8,311.0,1530,28.1,15,4.509,18.549,0
2164,M02164,M,303.6,314.1,1624,20.3,16,3.45,12.612,1
2165,L02165,L,297.3,305.5,1583,37.9,106,6.279,23.989,0
2166,H02166,H,299.9,308.1,1551,31.2,151,5.066,20.23,0
2167,M02167,M,299.4,310.1,1721,45.5,93,8.198,26.613,0
2168,L02168,L,300.9,311.4,1531,44.3,45,7.11,29.064,0
2169,M02169,M,300.4,310.6,1957,40.1,184,8.225,20.533,0
2170,L02170,L,299.3,308.4,1692,54.8,35,9.713,32.482,1
2171,M02171,M,299.1,309.9,1272,39.9,167,5.32,31.349,0
2172,L02172,L,297.8,308.4,1465,25.4,239,3.899,17.369,0
2173,L02173,L,302.0,312.1,1579,37.8,118,6.246,23.929,0
2174,M02174,M,300.9,309.7,1509,51.7,50,8.171,34.256,0
2175,L02175,L,301.8,311.4,1637,21.2,210,3.628,12.89,0
2176,M02176,M,299.4,310.2,1659,39.1,126,6.787,23.667,0
2177,L02177,L,298.7,310.0,1228,45.8,231,5.884,37.162,0
2178,M02178,M,297.8,307.5,1756,66.5,180,12.234,37.893,1
2179,M02179,M,300.7,310.5,1401,52.1,108,7.639,37.056,0
2180,L02180,L,297.9,307.8,1381,41.3,154,5.976,29.728,0
2181,L02181,L,303.7,314.0,1380,45.2,42,6.534,32.874,0
2182,L02182,L,297.4,306.8,1662,21.0,97,3.658,12.78,0
2183,L02183,L,300.5,307.7,1447,29.5,148,4.469,20.346,0
2184,L02184,L,303.1,314.3,1367,46.5,148,6.659,34.021,0
2185,M02185,M,301.2,313.0,1415,41.6,147,6.167,29.374,0
2186,H02186,H,300.4,309.7,1141,42.9,186,5.125,37.557,0
2187,M02187,M,298.1,307.0,1332,40.3,26,5.625,30.247,0
2188,M02188,M,297.2,307.1,1252,39.9,18,5.238,31.952,0
2189,M02189,M,301.5,311.4,1446,41.0,37,6.214,28.333,0
2190,M02190,M,303.0,314.0,1633,29.4,198,5.034,18.071,0
2191,L02191,L,299.1,309.2,1611,37.7,16,6.361,23.578,0
2192,H02192,H,297.7,306.9,1751,27.6,56,5.054,15.775,0
2193,M02193,M,295.1,303.8,1707,33.8,64,6.042,19.818,0
2194,L02194,L,298.0,308.9,1394,52.0,162,7.586,37.209,0
2195,L02195,L,299.8,310.4,1504,38.2,100,6.015,25.396,0
2196,L02196,L,303.2,314.3,1493,46.0,50,7.188,30.605,0
2197,L02197,L,301.3,310.4,1070,41.2,112,4.61,38.622,0
2198,M02198,M,300.6,312.4,1257,36.2,171,4.757,28.674,0
2199,L02199,L,299.2,307.5,1467,29.9,197,4.594,20.206,0
2200,L02200,L,298.8,309.5,1465,36.0,31,5.524,24.555,0
2201,H02201,H,302.8,310.9,1602,41.8,179,7.02,26.14,0
2202,L02202,L,300.4,309.6,1593,45.8,1,7.639,28.889,0
2203,L02203,L,295.8,307.4,1146,41.2,181,4.947,36.0,0
2204,L02204,L,298.7,309.5,1604,46.5,165,7.808,29.084,0
2205,M02205,M,298.3,307.7,1536,24.8,117,3.988,16.241,0
2206,H02206,H,298.9,308.4,1625,48.7,34,8.28,30.038,0
2207,L02207,L,301.1,311.2,1713,28.7,191,5.153,16.647,0
2208,M02208,M,299.8,310.3,1471,49.8,18,7.679,33.92,0
2209,L02209,L,299.8,311.1,1749,45.0,224,8.247,25.603,1
2210,H02210,H,302.6,312.2,1322,21.3,193,2.949,16.308,1
2211,M02211,M,298.6,307.0,1311,47.4,185,6.503,36.206,1
2212,M02212,M,303.7,313.9,1586,50.0,189,8.295,31.437,0
2213,L02213,L,298.7,308.2,1426,52.6,17,7.853,36.903,0
2214,H02214,H,300.2,308.9,1552,32.3,247,5.253,20.715,0
2215,M02215,M,299.4,309.7,1899,41.8,215,8.31,21.858,0
2216,L02216,L,300.2,310.0,1579,46.9,127,7.761,29.824,0
2217,M02217,M,300.9,311.2,1542,47.4,180,7.65,30.609,0
2218,L02218,L,300.9,310.0,1326,44.1,185,6.124,33.232,0
2219,M02219,M,298.5,309.0,1160,35.7,207,4.341,30.825,0
2220,L02220,L,297.8,306.4,1485,49.9,64,7.759,33.56,0
2221,M02221,M,305.0,314.2,1713,49.9,93,8.96,29.043,0
2222,L02222,L,299.0,308.8,1435,38.5,200,5.781,26.798,0
2223,L02223,L,301.4,313.1,1580,32.2,192,5.323,20.368,0
2224,L02224,L,296.8,307.6,1785,32.7,131,6.117,18.415,0
2225,L02225,L,299.4,310.5,1780,53.6,99,10.002,30.379,1
2226,L02226,L,299.7,311.2,1586,49.5,242,8.221,31.022,1
2227,L02227,L,300.9,314.5,1534,39.8,104,6.394,25.865,0
